"Field 
Champ"	Position	"Length
Longueur"	Variable	Label	Etiquette	Universe	Univers	Note (English)	Note (Français)
			blank	Not applicable	Indisponible				
57	114	1	schooln	Current student status	Statut d'étudiant actuel 	Respondents aged 15 to 64 years	Les répondants âgés de 15 à 64 ans 		
			1	Non-student	Non-étudiants				
			2	Full-time student	Étudiants à temps plein				
			3	Part-time student	Étudiants à temps partiel				
			blank	Not applicable	Indisponible				
58	116	2	efamtype	Type of economic family	Genre de famille économique	All respondents	Tous les répondantes	From viewpoint of reference person	Du point de vue de la personne de référence
			01	Person not in an economic family	Personne hors famille économique				
			02	"Dual-earner couple, no children or none under 25"	"Famille comptant un couple avec deux soutiens, pas d’enfant ou aucun enfant de moins de 25 ans"				
			03	"Dual-earner couple, youngest child 0 to 17"	"Famille compant un couple avec deux soutiens, dont le plus jeune enfant a entre 0 et 17 ans"				
			04	"Dual-earner couple, youngest child 18 to 24"	"Famille compant un couple avec deux soutiens, dont le plus jeune enfant a entre 18 et 24 ans"				
			05	"Single-earner couple, man+ employed, no children or none under 25"	"Famille comptant un couple avec un homme+ comme soutien, pas d’enfant ou aucun enfant de moins de 25 ans"				
			06	"Single-earner couple, man+ employed, youngest child 0 to 17"	"Famille comptant un couple avec un homme+ comme soutien, dont le plus jeune enfant a entre 0 et 17 ans"				
			07	"Single-earner couple, man+ employed, youngest child 18 to 24"	"Famille comptant un couple avec un homme+ comme soutien, dont le plus jeune enfant a entre18 et 24 ans"				
			08	"Single-earner couple, woman+ employed, no children or none under 25"	"Famille comptant un couple avec une femme+ comme soutien, pas d’enfant ou aucun enfant de moins de 25 ans"				
			09	"Single-earner couple, woman+ employed, youngest child 0 to 17"	"Famille comptant un couple avec une femme+ comme soutien, dont le plus jeune enfant a entre 0 et 17 ans"				
			10	"Single-earner couple, woman+ employed, youngest child 18 to 24"	"Famille comptant un couple avec une femme+ comme soutien, dont le plus jeune enfant a entre18 et 24 ans"				
			11	"Non-earner couple, no children or none under 25"	"Famille comptant un couple sans soutien, pas d’enfant ou aucun enfant de moins de 25 ans"				
			12	"Non-earner couple, youngest child 0 to 17"	"Famille comptant un couple sans soutien, dont le plus jeune enfant a entre 0 et 17 ans"				
			13	"Non-earner couple, youngest child 18 to 24"	"Famille comptant un couple sans soutien, dont le plus jeune enfant a entre 18 et 24 ans"				
			14	"Lone-parent family, parent employed, youngest child 0 to 17"	"Famille monoparentale, le parent travaille, dont le plus jeune enfant a entre 0 et 17 ans"				
			15	"Lone-parent family, parent employed, youngest child 18 to 24"	"Famille monoparentale, le parent travaille, dont le plus jeune enfant a entre 18 et 24 ans"				
			16	"Lone-parent family, parent not employed, youngest child 0 to 17"	"Famille monoparentale, le parent ne travaille pas, dont le plus jeune enfant a entre 0 et 17 ans"				
			17	"Lone-parent family, parent not employed, youngest child 18 to 24"	"Famille monoparentale, le parent ne travaille pas, dont le plus jeune enfant a entre 18 et 24 ans"				
			18	Other families	Autres Familles				
59	132	1	agyownk	Age of youngest child	L’âge du plus jeune enfant	Parents only	Parents seulement		
			1	Youngest child less than 6 years	Plus jeune enfant de moins de 6 ans				
			2	Youngest child 6 to 12 years	Plus jeune enfant de 6 à 12 ans				
			3	Youngest child 13 to 17 years	Plus jeune enfant de 13 à 17 ans				
			4	Youngest child 18 to 24 years	Plus jeune enfant de 18 à 24 ans				
			blank	Not applicable	Indisponible				
60	134	5	finalwt	Final weight	Le poids final	All respondents	Tous les répondantes		
			1-99999						
